RSA,NOTAM,REMARK,MNM FL,MAX FL,WEF,UNT,FUA/EU RS,FIR,UIR
EYD9,,,000,205,11:30,06:00,,,
EYTSA4,,,130,280,11:30,13:15,EYTSA4R,,
EYTSA4,,,130,280,15:40,17:40,EYTSA4R,,
EYTSA5,,,085,130,11:30,13:15,EYTSA5R,,
EYTSA5,,,085,130,15:40,17:40,EYTSA5R,,
GCD53,,,000,280,11:30,14:00,,,
GCD79A,,,020,999,11:30,16:30,GCD79AR,,
GCD79C,,,020,999,11:30,15:00,GCD79CR,,
GCMRAF11,,,065,999,11:30,06:00,GCMRAF11R,,
GCMRAF12,,,070,999,11:30,06:00,GCMRAF12R,,
LBD201,,,000,090,11:30,15:00,LBD201R,LBSR,
LBD207,,,000,085,11:30,15:00,LBD207R,LBSR,
LBD223,,,000,065,11:30,15:00,LBD223R,LBSR,
LBD224,,,000,105,11:30,15:00,LBD224R,LBSR,
LBD232,,,000,155,11:30,14:00,LBD232R,LBSR,
LBD239,,,000,105,11:30,05:59,LBD239R,LBSR,
LBD243,,,000,055,11:30,15:00,LBD243R,LBSR,
LBD246,,,000,105,11:30,15:00,LBD246R,LBSR,
LBD247,,,000,105,11:30,15:00,LBD247R,LBSR,
LBD301,,,000,105,11:30,05:59,LBD301R,LBSR,
LBD311,,,000,295,11:30,14:30,LBD311R,LBSR,
LBD311,,,000,155,14:30,18:00,LBD311R,LBSR,
LBP1,,,000,085,11:30,06:00,,,
LBTRA21A,,,000,115,11:30,14:00,LBTRA21AR,LBSR,
LBTRA21B,,,000,115,11:30,14:00,LBTRA21BR,LBSR,
LBTRA21C,,,115,245,11:30,14:00,LBTRA21CR,LBSR,
LBTRA22E,,,000,025,11:30,14:00,LBTRA22ER,LBSR,
LBTRA22F,,,000,025,11:30,14:00,LBTRA22FR,LBSR,
LBTRA31,,,000,245,11:30,14:00,LBTRA31R,LBSR,
LBTRA32A,,,000,245,11:30,14:00,LBTRA32AR,LBSR,
LBTRA32B,,,000,245,11:30,14:00,LBTRA32BR,LBSR,
LBTRA33,,,000,245,11:30,14:00,LBTRA33R,LBSR,
LBTRA34A,,,000,175,11:30,14:00,LBTRA34AR,LBSR,
LBTRA34B,,,000,175,11:30,14:00,LBTRA34BR,LBSR,
LBTRA38,,,000,105,11:30,14:00,LBTRA38R,LBSR,
LBTRA60,,,040,095,11:30,14:00,LBTRA60R,LBSR,
LBTRA61,,,000,095,11:30,14:00,LBTRA61R,LBSR,
LBTRA62,,,000,095,11:30,14:00,LBTRA62R,LBSR,
LBTRA63,,,115,165,11:30,14:00,"LBTRA63RA, LBTRA63RB, LBTRA63RC, LBTRA63RD, LBTRA63RE",LBSR,
LBTRA64,,,040,095,11:30,14:00,LBTRA64R,LBSR,
LBTRA65,,,095,165,11:30,14:00,LBTRA65R,LBSR,
LBTRA83,,,000,035,11:30,15:30,LBTRA83R,LBSR,
LBTRA83,,,000,035,05:00,06:00,LBTRA83R,LBSR,
LBTRA86,,,000,175,11:30,15:00,LBTRA86R,LBSR,
LCD10,,,000,180,11:30,06:00,,,
LCD47,,,000,280,11:30,04:50,,,
LCNPZ1,,,000,999,11:30,06:00,,,
LCTRA02,,,000,120,11:30,17:00,,,
LCTRA02,,,000,120,05:00,06:00,,,
LCTSA03,,,000,035,11:30,12:00,,,
LCTSA04,,,000,035,11:30,12:00,,,
LCTSA09,,,000,080,11:30,12:00,,,
LDTR179,,,000,095,11:30,13:00,,LDZO,
LDTR8,,,000,335,11:30,15:00,,LDZO,
LED1,,,000,180,11:30,18:02,LED1R,,
LED120,,,000,245,11:30,13:00,,,
LED121,,,000,100,11:30,19:00,,,
LED121,,,110,245,11:30,21:17,,,
LED122,,,000,100,11:30,19:00,LED122R,,
LED122,,,110,240,11:30,21:17,LED122R,,
LED128,,,060,100,11:30,19:00,LED128R,,
LED129,,,000,100,11:30,19:00,LED129R,,
LED129,,,110,240,11:30,21:17,LED129R,,
LED131,,,000,145,11:30,13:00,,,
LED132,,,145,460,11:30,13:00,,,
LED165,,,000,050,12:00,13:00,LED165R,,
LED166,,,050,150,12:00,13:00,,,
LED167,,,050,150,12:00,13:00,LED167R,,
LED168,,,050,150,12:00,13:00,LED168R,,
LED169,,,150,999,11:50,13:10,,,
LED169,,,150,360,15:21,19:10,,,
LED35B,,,000,180,11:30,12:00,,,
LED36,,,020,130,11:30,13:00,LED36R,,
LED36,,,000,020,11:30,13:00,LED36R,,
LED36,,,000,130,13:00,17:00,LED36R,,
LED50,,,000,235,11:30,15:30,LED50R,,
LED90B,,,000,280,11:30,14:00,,,
LED90C,,,000,280,11:30,14:00,,,
LED98,,,075,999,11:30,13:15,,,
LER63,,,020,260,11:30,16:30,,,
LER71A,,,010,100,11:30,17:00,,,
LER71A,,,010,100,17:00,22:00,,,
LER71B,,,010,240,11:30,17:00,,,
LER71B,,,010,100,17:00,22:00,,,
LER71C,,,020,240,11:30,17:00,,,
LER86A,,,000,450,11:30,19:30,LER86AS,,
LER86B,,,050,245,11:30,19:30,,,
LER86C,,,245,450,11:30,19:30,"LER86CTA, LER86CTB",,
LETPA0H,,,410,460,13:00,17:00,LETPA0HR,,
LETPA0L,,,000,230,13:00,17:00,LETPA0LR,,
LETPA0M,,,230,320,13:00,17:00,LETPA0MR,,
LETPA1AH,,,410,999,14:00,17:00,LETPA1AHR,,
LETPA1AL,,,010,320,14:00,17:00,LETPA1ALR,,
LETPA1B,,,010,200,14:00,17:00,LETPA1BR,,
LETPA2H,,,105,999,14:00,17:00,"LETPA2HRA, LETPA2HRB, LETPA2HRC",,
LETPA2L,,,010,105,14:00,17:00,"LETPA2LRA, LETPA2LRB, LETPA2LRC",,
LETPA3A,,,390,999,14:00,17:00,LETPA3AR,,
LETPA3A,,,010,320,14:00,17:00,LETPA3AR,,
LETPA3B,,,010,320,14:00,17:00,LETPA3BR,,
LETPA3B,,,390,999,14:00,17:00,LETPA3BR,,
LETPTC1,,,250,260,14:00,17:00,LETPTC1R,,
LFCBA16B,,,065,095,11:30,16:30,,"EBBU, LFFF","EBUR, LFFF"
LFCBA16B,,CIVILIAN BUFFER,095,245,16:30,17:00,,"EBBU, LFFF","EBUR, LFFF"
LFCBA16B,,CIVILIAN BUFFER,245,999,16:30,17:00,,"EBBU, LFFF","EBUR, LFFF"
LFCBA16B,,,095,245,11:30,16:30,,"EBBU, LFFF","EBUR, LFFF"
LFCBA16B,,,245,999,11:30,16:30,,"EBBU, LFFF","EBUR, LFFF"
LFD31D,,,000,999,11:30,13:15,,,
LFD31DZ,,,195,999,11:30,13:30,LFD31DZR,,
LFNPZ2,,,195,305,11:30,01:00,,,
LFNPZ4,,,195,305,11:30,01:00,,,
LFR108RM,,,195,999,11:45,13:45,,,
LFR108RM,,,195,999,15:00,17:00,,,
LFR108RMZ,,,195,999,11:30,14:00,"LFR108RMZR, LFR108RMZS",,
LFR108RMZ,,,195,999,14:45,17:15,"LFR108RMZR, LFR108RMZS",,
LFR108RT,,,195,999,11:45,13:45,,,
LFR108RT,,,195,999,15:00,17:00,,,
LFR108RTZ,,,195,999,11:30,14:00,"LFR108RTZR, LFR108RTZS",,
LFR108RTZ,,,195,999,14:45,17:15,"LFR108RTZR, LFR108RTZS",,
LFR138,,,000,195,11:30,20:00,LFR138R,,
LFR138,,,000,115,20:00,06:00,LFR138R,,
LFR31H,,,195,999,11:30,13:15,,,
LFR31HZ,,,195,999,11:30,13:30,LFR31HZR,,
LFR321,,,115,195,11:30,12:00,,,
LFR321,,,115,195,12:00,13:00,,,
LFR34A2,,,065,195,11:30,06:00,,,
LFR61H,,,195,285,11:30,16:00,,,
LFR61HZ,,,195,285,11:30,16:15,LFR61HZRA,,
LFR9B,,,015,195,12:30,17:30,,,
LFT200A,,,195,999,11:30,12:00,,,
LFT200A,,,195,999,12:00,13:00,,,
LFT200AZ1,,,195,999,11:30,12:30,LFT200AZ1R,,
LFT200AZ1,,,195,999,11:30,13:30,LFT200AZ1R,,
LFT200AZ2,,,195,999,11:30,12:45,LFT200AZ2R,,
LFT200AZ2,,,195,999,11:30,13:45,LFT200AZ2R,,
LFT22A,,,195,305,11:30,13:00,LFT22AR,,
LFT22A,,,195,305,13:00,14:00,LFT22AR,,
LFT22A,,,195,305,23:00,01:00,LFT22AR,,
LFT22AZ,,,195,305,11:30,13:15,LFT22AZR,,
LFT22AZ,,,195,305,12:45,14:15,LFT22AZR,,
LFT22AZ,,,195,305,22:45,01:15,LFT22AZR,,
LFT22B,,,195,285,11:30,13:00,,,
LFT22B,,,195,285,13:00,14:00,,,
LFT22B,,,195,285,23:00,01:00,,,
LFT24A,,,195,999,13:00,13:45,,,
LFT24AZ1,,,195,999,12:45,14:00,LFT24AZ1R,,
LFT24AZ2,,,195,999,12:25,14:20,LFT24AZ2R,,
LFT24B,,,195,999,12:15,13:00,,,
LFT24BZ1,,,195,999,12:00,13:15,LFT24BZ1R,,
LFT24BZ2,,,195,999,11:40,13:35,LFT24BZ2R,,
LFT34A,,,195,999,12:30,14:00,,,
LFT34AZ,,,195,999,12:15,14:15,LFT34AZR,,
LFT34N,,,245,999,12:30,14:00,,,
LFT34NZ,,,245,999,12:15,14:15,"LFT34NZRA, LFT34NZRB",,
LFT42N,,,195,999,11:30,12:30,,,
LFT42NZ,,,195,999,11:30,12:45,"LFT42NZR, LFT42NZS",,
LGD100,,,000,250,11:30,06:00,,,
LGD61,,,000,400,11:30,06:00,,,
LGD63,,,000,120,11:30,06:00,,,
LGD64,,,000,250,11:30,06:00,,,
LGD65,,,000,250,11:30,06:00,,,
LGD68,,,000,250,11:30,06:00,,,
LGD69,,,000,250,11:30,06:00,,,
LGD71,,,000,090,11:30,06:00,,,
LGD72A,,,075,999,11:30,06:00,,,
LGD72B,,,075,999,11:30,06:00,,,
LGD73,,,000,250,11:30,06:00,,,
LGD76,,,000,150,11:30,06:00,,,
LGD77,,,000,290,11:30,06:00,,,
LGD79,,,000,250,11:30,06:00,,,
LGD80,,,000,050,11:30,06:00,,,
LGD81,,,000,160,11:30,06:00,,,
LGD82,,,000,250,11:30,06:00,,,
LGD83,,,000,999,11:30,06:00,,,
LGD88,,,000,999,11:30,06:00,,,
LGD89,,,000,999,11:30,06:00,,,
LGD90,,,000,999,11:30,06:00,,,
LGD93,,,000,150,11:30,06:00,,,
LGD94,,,000,050,11:30,06:00,,,
LGD95,,,000,130,11:30,06:00,,,
LGD96,,,000,050,11:30,06:00,,,
LGD97,,,000,240,11:30,06:00,,,
LGD98,,,000,100,11:30,06:00,,,
LGMRATRIP,,,120,170,11:30,00:00,,,
LGP13,,,000,040,11:30,06:00,,,
LGP4,,,000,035,11:30,06:00,,,
LGP5,,,000,035,11:30,06:00,,,
LGP6,,,000,015,11:30,06:00,,,
LGP7,,,000,015,11:30,06:00,,,
LGP8,,,000,070,11:30,06:00,,,
LGR20,,,000,025,11:30,06:00,,,
LGR21,,,000,015,11:30,06:00,,,
LGR22,,,000,055,11:30,06:00,,,
LGR23,,,000,055,11:30,06:00,,,
LGR24,,,035,055,11:30,06:00,,,
LGR25,,,000,055,11:30,06:00,,,
LGR26,,,000,055,11:30,06:00,,,
LGR27,,,000,245,11:30,06:00,,,
LGR28,,,000,015,11:30,06:00,,,
LGR29,,,000,085,11:30,06:00,,,
LGR30,,,000,065,11:30,06:00,,,
LGR50,,,075,245,11:30,06:00,,,
LGR52,,,080,240,11:30,06:00,,,
LGR56,,,000,085,11:30,06:00,,,
LHD14,,,000,105,11:30,21:00,,,
LHD16,,,000,025,11:30,17:00,,,
LHD21,,,000,105,11:30,12:00,,,
LHD2A,,,000,145,11:30,17:00,,,
LHD3,,,000,025,11:30,17:00,,,
LHD36A,,,000,145,11:30,17:00,,,
LHTRA13,,,095,145,11:30,16:00,,,
LHTRA14A,,,000,020,11:30,12:00,,,
LHTRA14B,,,000,020,11:30,12:00,,,
LHTRA14C,,,000,020,11:30,12:00,,,
LHTRA32A,,,245,305,11:30,13:00,,,
LHTRA32B,,,245,305,11:30,13:00,,,
LIBRYAN,,,480,600,11:30,06:00,,,
LID25B,,,000,999,11:30,06:00,,,
LID25C,,,000,999,11:30,06:00,,,
LID409A,,,015,145,11:30,06:00,,,
LID409B,,,145,245,11:30,06:00,,,
LID40A,,,010,999,11:30,18:00,LID40AR,,
LID40B,,,000,195,11:30,19:00,LID40BR,,
LID5A,,,240,315,11:30,00:00,,,
LID5B,,,315,380,11:30,00:00,LID5BR,,
LID67,,,000,450,11:30,16:30,LID67R,,
LID75,,,050,240,11:30,06:00,EUD75MR,,
LID91BIS,,,060,240,11:30,00:00,,,
LIGH006,,,410,600,11:30,06:00,,,
LIGH007,,,410,600,11:30,06:00,,,
LIGH008,,,410,600,11:30,06:00,,,
LILDD35A,,,050,125,11:30,15:00,LILDD35AR,,
LILDD35B,,SEE CBA CRIT,125,280,11:30,15:00,LILDD35BR,"LDZO, LIMM",LIMM
LINPZ1,,,145,660,11:30,06:00,LINPZ1R,,
LINPZ2,,,305,660,11:30,06:00,LINPZ2R,,
LIORBIT,,,350,560,11:30,06:00,,,
LIP3,,,000,999,11:30,17:00,LIP3R,,
LIR107A,,,195,240,11:30,06:00,,,
LIR108A,,,155,315,11:30,17:00,LIR108AR,,
LIR108B,,,315,600,11:30,17:00,LIR108BR,,
LIR21A,,,125,240,11:30,13:00,,,
LIR21B,,,125,240,11:30,13:00,,,
LIR46,,,000,250,11:30,06:00,,,
LIR47,,,010,095,11:30,06:00,,,
LIR48,,,125,240,11:30,22:00,,,
LIR48,,,125,240,05:00,06:00,,,
LIR49E,,,290,370,11:30,12:15,,,
LIR49F,,,290,370,11:30,12:15,,,
LIR50,,,085,245,11:30,22:00,,,
LIR50,,,085,245,05:00,06:00,,,
LIR500A,,,035,190,11:30,06:00,LIR500AR,,
LIR500B,,,190,370,11:30,06:00,LIR500BR,,
LIR500C,,,370,600,11:30,06:00,LIR500CR,,
LIR503A,,,165,235,11:30,22:00,,,
LIR503B,,,235,270,11:30,22:00,,,
LIR54,,,000,600,11:30,00:00,LIR54R,,
LIR64,,,035,315,11:30,22:00,,,
LIR64,,,035,315,05:00,06:00,,,
LIR64BIS,,,105,315,11:30,22:00,,,
LIR64BIS,,,105,315,05:00,06:00,,,
LIR65,,,155,240,11:30,06:00,,,
LIR7,,,000,999,11:30,17:00,LIR7R,,
LITC2S1,,,410,560,11:30,06:00,,,
LITC2S2,,,350,560,11:30,06:00,,,
LITC2S3,,,000,370,11:30,06:00,,,
LITRA445,,,245,305,11:30,16:00,,,
LITSA455A,,,305,405,11:30,16:00,,,
LITSA455B,,,405,660,11:30,16:00,,,
LIUHESPOC,,,280,550,11:30,06:00,,,
LIUTC1S1,,,180,370,11:30,06:00,,,
LIUTC1S2,,,180,370,11:30,06:00,,,
LIUTC1S3,,,180,370,11:30,06:00,,,
LIUTC1S4,,,180,370,11:30,06:00,,,
LIUTC1S5,,,180,370,11:30,06:00,,,
LIUTC1S6,,,180,370,11:30,06:00,,,
LJNPZ1,,,125,660,11:30,06:00,"LJNPZ1A, LJNPZ1B, LJNPZ1C",,
LJNPZ2,,,125,660,11:30,06:00,LJNPZ2A,,
LKTRA30Z,,0,095,245,11:30,13:00,"LKTRA30ZRA, LKTRA30ZRB",,
LKTRA31Z,,0,010,245,11:30,13:00,LKTRA31ZR,,
LKTRA32Z,,0,050,245,11:30,13:00,LKTRA32ZR,,
LKTRA33Z,,0,050,245,11:30,13:00,LKTRA33ZR,,
LKTRA34Z,,0,050,245,11:30,13:00,LKTRA34ZR,,
LKTRA36Z,,0,125,245,11:30,13:00,LKTRA36ZR,,
LKTRA37Z,,0,095,420,13:00,15:00,LKTRA37ZR,,
LKTRA37Z,,0,095,660,11:30,13:00,LKTRA37ZR,,
LKTRA56Z,,0,010,125,11:30,13:00,LKTRA56ZR,,
LKTRA57Z,,0,030,125,11:30,13:00,LKTRA57ZR,,
LKTRA6,,0,000,010,11:30,14:00,LKTRA6R,,
LKTRA61,,0,000,030,11:30,13:00,,,
LKTRA62Z,,0,030,245,11:30,15:00,LKTRA62ZR,,
LKTRA63Z,,0,095,125,11:30,13:00,LKTRA63ZR,,
LKTRA77Z,,0,010,245,11:30,13:00,LKTRA77ZRA,,
LKTRA78Z,,0,075,245,11:30,13:00,LKTRA78ZR,,
LKTRA79Z,,0,095,245,11:30,13:00,LKTRA79ZR,,
LKTSA20,,0,000,010,11:30,13:00,,,
LKTSA26,,0,000,010,11:30,13:00,,,
LKTSA27,,0,000,010,11:30,13:00,,,
LKTSA2B,,0,000,125,11:30,12:10,LKTSA2BR,,
LKTSA3A,,0,000,125,11:30,12:30,LKTSA3AR,,
LOD25A,,,000,095,11:30,19:00,LOD25AR,LOVV,
LOD30,,,000,095,11:30,18:30,LOD30R,LOVV,
LONPZ1,,,045,660,11:30,06:00,LONPZ1R,,
LONPZ2,,,065,660,11:30,06:00,LONPZ2R,,
LOR15,,,000,100,11:30,06:00,LOR15R,,
LPD28B,,,000,030,11:30,22:00,,LPPC,
LPD66,,,000,050,11:30,17:00,,LPPC,
LPD67,,,040,300,11:30,13:00,,LPPC,
LPD67,,,040,300,14:30,16:30,,LPPC,
LPNEVER,,,245,285,11:30,13:00,EUNEVER2A,LPPC,
LPNEVER,,,245,285,14:30,16:30,EUNEVER2A,LPPC,
LPR42B,,,010,070,11:30,17:00,,LPPC,
LPR42B,,,100,245,11:30,13:00,,LPPC,
LPR42B,,,100,245,14:30,16:30,,LPPC,
LPR60B,,,245,500,11:30,13:30,,LPPC,
LPR60B,,,245,500,14:00,17:00,,LPPC,
LPSNOW,,,245,285,11:30,13:00,"EUSNOW1A, EUSNOW1B",LPPC,
LPSNOW,,,245,285,14:30,16:30,"EUSNOW1A, EUSNOW1B",LPPC,
LPTRA54,,,000,245,11:30,13:00,LPTRA54R,LPPC,
LPTRA54,,,000,245,14:30,16:30,LPTRA54R,LPPC,
LPTRA55,,,015,245,11:30,13:00,LPTRA55R,LPPC,
LPTRA55,,,015,245,14:30,16:30,LPTRA55R,LPPC,
LQNPZ1,,,095,660,11:30,06:00,LQNPZ1R,,
LRP4,,,000,085,11:30,06:00,,,
LRR501,,,000,165,11:30,06:00,LRR501R,,
LRR502,,,165,405,11:30,06:00,LRR502R,,
LRR503,,,405,999,11:30,06:00,LRR503R,,
LRTRA1,,,285,460,11:30,15:00,,LRBB,
LRTRA10A,,,000,280,11:30,15:00,,LRBB,
LRTRA11B,,,000,280,11:30,12:00,,LRBB,
LRTRA11B,,,000,280,12:00,15:00,,LRBB,
LRTRA16,,,285,460,11:30,13:00,,LRBB,
LRTRA19A,,,000,280,11:30,23:59,,LRBB,
LRTRA19B,,,000,280,11:30,23:59,,LRBB,
LRTRA20A,,,000,280,11:30,23:59,,LRBB,
LRTRA26,,,000,055,11:30,15:00,,LRBB,
LRTRA27,,,080,280,11:30,06:00,,LRBB,
LRTRA28,,,080,280,11:30,23:59,,LRBB,
LRTRA32,,,000,280,11:30,23:59,,LRBB,
LRTRA33,,,055,280,11:30,23:59,,LRBB,
LRTRA34,,,000,280,11:30,23:59,,LRBB,
LRTRA35,,,000,055,11:30,23:59,,LRBB,
LRTRA36,,,000,280,11:30,23:59,,LRBB,
LRTRA37,,,000,280,11:30,23:59,,LRBB,
LRTRA38,,,000,280,11:30,23:59,,LRBB,
LRTRA39,,,000,280,11:30,23:59,,LRBB,
LRTRA40,,,040,280,11:30,23:59,,LRBB,
LRTRA41,,,285,460,11:30,15:00,,LRBB,
LRTRA64,,,000,105,11:30,15:20,,LRBB,
LRTRA71,,,000,280,11:30,16:00,,LRBB,
LRTRA74A,,,000,280,11:30,16:00,,LRBB,
LRTRA75A,,,000,280,11:30,16:00,,LRBB,
LRTRA76,,,000,035,11:30,16:00,,LRBB,
LRTRA77,,,025,075,11:30,16:00,,LRBB,
LRTRA84,,,285,460,11:30,13:00,,LRBB,
LST201,,,300,660,12:30,13:40,LST201R,,
LST201,,,300,660,14:45,15:45,LST201R,,
LST201Z,,,285,660,12:30,13:40,LST201ZR,,
LST201Z,,,285,660,14:45,15:45,LST201ZR,,
LST202,,,300,660,12:30,13:40,LST202R,,
LST202,,,300,660,14:45,15:45,LST202R,,
LST202Z,,,285,660,12:30,13:40,LST202ZR,,
LST202Z,,,285,660,14:45,15:45,LST202ZR,,
LST203,,,300,660,12:30,13:40,LST203R,,
LST203,,,300,660,14:45,15:45,LST203R,,
LST203Z,,,285,660,12:30,13:40,LST203ZR,,
LST203Z,,,285,660,14:45,15:45,LST203ZR,,
LST204,,,300,660,12:30,13:40,LST204R,,
LST204,,,300,660,14:45,15:45,LST204R,,
LST204Z,,,285,660,12:30,13:40,LST204ZR,,
LST204Z,,,285,660,14:45,15:45,LST204ZR,,
LST21,,,130,280,12:30,13:40,LST21R,,
LST21,,,130,280,14:45,15:45,LST21R,,
LST21Z,,,115,295,12:30,13:40,LST21ZR,,
LST21Z,,,115,295,14:45,15:45,LST21ZR,,
LST22,,,130,280,12:30,13:40,LST22R,,
LST22,,,130,280,14:45,15:45,LST22R,,
LST22Z,,,115,295,12:30,13:40,LST22ZR,,
LST22Z,,,115,295,14:45,15:45,LST22ZR,,
LST23,,,130,280,12:30,13:40,LST23R,,
LST23,,,130,280,14:45,15:45,LST23R,,
LST23Z,,,115,295,12:30,13:40,LST23ZR,,
LST23Z,,,115,295,14:45,15:45,LST23ZR,,
LST24,,,130,280,12:30,13:40,LST24R,,
LST24,,,130,280,14:45,15:45,LST24R,,
LST24Z,,,115,295,12:30,13:40,LST24ZR,,
LST24Z,,,115,295,14:45,15:45,LST24ZR,,
LST301,,,300,660,12:30,15:45,LST301R,,
LST301Z,,,285,660,12:30,15:45,LST301ZR,,
LST302,,,300,660,12:30,15:45,LST302R,,
LST302Z,,,285,660,12:30,15:45,LST302ZR,,
LST31,,,130,280,12:30,15:45,LST31R,,
LST31Z,,,115,295,12:30,15:45,LST31ZR,,
LST32,,,130,280,12:30,15:45,LST32R,,
LST32Z,,,115,295,12:30,15:45,LST32ZR,,
LST501,,,300,660,12:30,13:40,,,
LST501Z,,,285,660,12:30,13:40,LST501ZR,,
LST502,,,300,660,12:30,13:40,,,
LST502Z,,,285,660,12:30,13:40,LST502ZR,,
LST51,,,130,280,12:30,13:40,,,
LST51Z,,,115,295,12:30,13:40,LST51ZR,,
LST52,,,130,280,12:30,13:40,,,
LST52Z,,,115,295,12:30,13:40,LST52ZR,,
LST601,,,300,660,12:30,13:40,,,
LST601Z,,,285,660,12:30,13:40,LST601ZR,,
LST61,,,130,280,12:30,13:40,,,
LST61Z,,,115,295,12:30,13:40,LST61ZR,,
LST900,,,130,660,12:15,13:40,,,
LST900Z,,,115,660,12:15,13:40,LST900ZR,,
LYTSA02Z,,,125,330,13:00,14:00,"LYTSA02ZRA, LYTSA02ZRB",LYBA,LYBA
LYTSA03Z,,,160,330,11:30,12:00,"LYTSA03ZRA, LYTSA03ZRB",LYBA,LYBA
LZNPZ1,,,245,660,11:30,00:00,LZNPZ1R,,
LZNPZ1,,,245,660,00:00,06:00,LZNPZ1R,,
LZNPZ2,,,245,660,11:30,00:00,LZNPZ2R,,
LZNPZ2,,,245,660,00:00,06:00,LZNPZ2R,,
LZNPZ3,,,245,660,11:30,00:00,LZNPZ3R,,
LZNPZ3,,,245,660,00:00,06:00,LZNPZ3R,,
LZR01,,,020,050,11:30,00:00,,,
LZR01,,,020,050,00:00,06:00,,,
LZR02,,,035,050,11:30,00:00,,,
LZR02,,,035,050,00:00,06:00,,,
LZR225,,,000,080,11:30,00:00,,,
LZR225,,,000,080,00:00,06:00,,,
LZR225A,,,040,080,11:30,00:00,,,
LZR225A,,,040,080,00:00,06:00,,,
LZR225B,,,050,080,11:30,00:00,,,
LZR225B,,,050,080,00:00,06:00,,,
LZR225C,,,060,080,11:30,00:00,,,
LZR225C,,,060,080,00:00,06:00,,,
LZR314,,,000,050,11:30,00:00,,,
LZR314,,,000,050,00:00,06:00,,,
LZR315,,,000,050,11:30,00:00,,,
LZR315,,,000,050,00:00,06:00,,,
LZR415,,,050,080,11:30,00:00,,,
LZR415,,,050,080,00:00,06:00,,,
LZR60B,,,000,040,11:30,13:00,,,
LZTRA03,,,050,125,11:30,06:00,,,
LZTRA06B,,,040,245,11:30,13:00,LZTRA06BR,,
LZTRA100A,,,050,080,11:30,13:00,,,
LZTRA100B,,,050,080,11:30,13:00,,,
LZTRA100C,,,050,080,11:30,13:00,,,
UKP35,,,000,999,11:30,06:00,UKP35R,,
UKP35Z,,,275,999,11:30,06:00,UKP35ZR,,
UKP36,,,000,999,11:30,06:00,UKP36R,,
UKP36Z,,,275,999,11:30,06:00,UKP36ZR,,
,,,,,,,,,
