RSA,NOTAM,REMARK,MNM FL,MAX FL,WEF,UNT,FUA/EU RS,FIR,UIR
EGMTANWSL,,,195,305,17:00,18:15,EGMTANWSLR,,
EGNPZ1,,,255,660,11:30,06:00,EGNPZ1R,,
EGNPZ2,,,255,660,11:30,06:00,EGNPZ2R,,
EHD018Z,,,055,660,11:30,12:00,EHD018ZR,EHAA,
EHD09Z,,,055,660,11:30,12:00,EHD09ZR,EHAA,
EHR2A,,,000,195,11:30,12:00,,EHAA,
EHR2B,,,010,065,11:30,12:00,,EHAA,
EHR2C,,,010,025,11:30,12:00,,EHAA,
EHR3,,,000,030,11:30,06:00,,EHAA,
EHR3A,,,030,185,11:30,16:00,,EHAA,
EHR4,,,000,065,11:30,16:00,,EHAA,
EHR4B,,,000,040,11:30,16:00,,EHAA,
EHR4C,,,010,020,11:30,16:00,,EHAA,
EHR4D,,,000,015,11:30,16:00,,EHAA,
EHR4F,,,000,050,11:30,16:00,,EHAA,
EHR61,,,000,010,11:30,16:00,,EHAA,
EHR62,,,000,010,11:30,16:00,,EHAA,
EHR63,,,000,010,11:30,16:00,,EHAA,
EHR64,,,000,010,11:30,16:00,,EHAA,
EHR65,,,000,025,11:30,16:00,,EHAA,
EHR8,,,000,065,11:30,16:00,,EHAA,
EHR9,,,000,060,11:30,16:00,,EHAA,
EHTRA10AZ,,,095,660,11:30,12:00,EHTRA10AZR,EHAA,
EHTRA10B,,,065,095,13:45,15:00,,EHAA,
EHTRA12Z,,,195,285,11:30,15:45,"EHTRA12ZRA, EHTRA12ZRB","EBBU, EDGG, EHAA","EBUR, EDVV"
EHTRA83,,,000,030,11:30,14:00,,EHAA,
EHTSA50,,,000,010,11:30,17:00,,EHAA,
EKR18,,,000,020,11:30,16:00,EKR18R,EKDK,
EKR19,,,000,035,13:00,15:30,EKR19R,EKDK,
EKR19Z,,,035,115,13:00,15:30,EKR19ZR,EKDK,
EKR32,,,000,035,11:30,16:00,EKR32R,EKDK,
EKR32Z,,,035,065,11:30,16:00,EKR32ZR,EKDK,
EKR33,,,000,035,11:30,16:00,EKR33R,EKDK,
EKR33Z,,,035,065,11:30,16:00,EKR33ZR,EKDK,
EKR34,,,000,035,11:30,16:00,EKR34R,EKDK,
EKR34Z,,,035,065,11:30,16:00,EKR34ZR,EKDK,
EKR35,,,000,035,11:30,16:00,EKR35R,EKDK,
EKR35Z,,,035,065,11:30,16:00,EKR35ZR,EKDK,
EKROD1,,,000,035,11:30,18:00,EKROD1R,EKDK,
EKROD2,,,000,020,11:30,18:00,EKROD2R,EKDK,
EKROD3,,,000,035,11:30,18:00,EKROD3R,EKDK,
EKROD3Z,,,035,075,11:30,18:00,EKROD3ZR,EKDK,
EKROD4Z,,,055,075,11:30,17:30,EKROD4ZR,EKDK,
EKROD5Z,,,055,075,11:30,17:30,EKROD5ZR,EKDK,
EPD21,,,000,095,11:30,06:00,EPD21R,,
EPD21Z,,,095,130,11:30,06:00,EPD21ZR,,
EPD24,,,000,095,11:30,06:00,EPD24R,,
EPD24Z,,,095,115,11:30,06:00,EPD24ZR,,
EPD25A,,,000,095,11:30,12:00,EPD25AR,,
EPD25AZ,,,095,190,11:30,12:00,EPD25AZR,,
EPD27,,,000,085,11:30,22:00,EPD27R,,
EPD29,,,000,095,11:30,06:00,EPD29R,,
